,RankTHE,Name,No. of FTE students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1804,Reporter,European University Cyprus,"5,229",19.4,49%,58 : 42,,,,,,
1805,Reporter,European University of Valencia,"2,169",8.8,50%,58 : 42,,,,,,
1806,Reporter,"Evangel University, Akaeze",987,5.7,0%,47 : 53,,,,,,
1807,Reporter,Externado University of Colombia,"12,370",13.0,1%,58 : 42,,,,,,
1808,Reporter,Falmouth University,"4,800",17.8,14%,57 : 43,,,,,,
1809,Reporter,Federal University Gashua,"1,091",3.3,0%,10 : 90,,,,,,
1810,Reporter,Federal University of Kashere,"10,121",21.4,0%,30 : 70,,,,,,
1811,Reporter,Federal University of Lafia,"12,456",22.8,0%,40 : 60,,,,,,
1812,Reporter,Federal University of Latin American Integration (UNILA),"4,774",11.8,31%,50 : 50,,,,,,
1813,Reporter,"Federal University of Petroleum Resources, Effurun","7,313",39.7,0%,17 : 83,,,,,,
1814,Reporter,"Federal University of Technology, Minna","24,671",27.8,0%,25 : 75,,,,,,
1815,Reporter,"Federal University of Technology, Owerri","22,610",18.7,0%,31 : 69,,,,,,
1816,Reporter,First Technical University,"2,442",29.1,0%,29 : 71,,,,,,
1817,Reporter,Fountain University,"1,420",18.9,0%,59 : 41,,,,,,
1818,Reporter,University of Franca,"50,760",160.6,0%,57 : 43,,,,,,
1819,Reporter,Fukui Prefectural University,"1,772",10.9,1%,51 : 49,,,,,,
1820,Reporter,Fundação Oswaldo Cruz,"3,699",,%,,,,,,,
1821,Reporter,Fundación Universitaria del Área Andina,"40,193",35.9,0%,60 : 40,,,,,,
1822,Reporter,Future University in Egypt,"9,066",10.7,10%,43 : 57,,,,,,
1823,Reporter,General Sir John Kotelawala Defence University,"5,136",21.0,2%,48 : 52,,,,,,
1824,Reporter,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,"2,046",20.5,0%,10 : 90,,,,,,
1825,Reporter,GLA University,"9,680",17.2,0%,27 : 73,,,,,,
1826,Reporter,Fergana Polytechnic Institute,"14,812",23.6,0%,20 : 80,,,,,,
1827,Reporter,Glasgow School of Art,"2,240",16.0,44%,67 : 33,,,,,,
1828,Reporter,University of Gloucestershire,"6,605",17.2,11%,60 : 40,,,,,,
1829,Reporter,"Government College Women University, Sialkot","7,023",34.8,0%,100 : 0,,,,,,
1830,Reporter,"The Graduate University for Advanced Studies, SOKENDAI",506,0.4,31%,29 : 71,,,,,,
1831,Reporter,Greenwich University,"1,261",15.6,3%,35 : 65,,,,,,
1832,Reporter,Gregory University Uturu,"2,025",7.3,0%,62 : 38,,,,,,
1833,Reporter,Gulf College,"2,780",27.5,3%,40 : 60,,,,,,
1834,Reporter,Harper Adams University,"2,195",13.3,11%,58 : 42,,,,,,
1835,Reporter,Hartpury University,"1,655",23.6,10%,64 : 36,,,,,,
1836,Reporter,Hassiba Benbouali University of Chlef,"30,121",22.3,1%,71 : 29,,,,,,
1837,Reporter,Hawler Medical University,"4,152",7.2,1%,63 : 37,,,,,,
1838,Reporter,University of Health and Allied Sciences,"6,445",23.5,0%,62 : 38,,,,,,
1839,Reporter,"University of Health Sciences, Turkey","21,322",9.0,5%,34 : 66,,,,,,
1840,Reporter,University of the Highlands and Islands,"7,200",130.9,12%,61 : 39,,,,,,
1841,Reporter,Hindustan Institute of Technology and Science,"6,033",12.1,1%,36 : 64,,,,,,
1842,Reporter,Hiroshima Shudo University,"4,776",16.6,0%,39 : 61,,,,,,
1843,Reporter,Hiroshima Institute of Technology,"4,628",25.4,0%,10 : 90,,,,,,
1844,Reporter,Hitotsubashi University,"6,212",17.0,15%,32 : 68,,,,,,
1845,Reporter,Huachiew Chalermprakiet University,"7,297",16.0,7%,79 : 21,,,,,,
1846,Reporter,University of Human Development,"2,583",17.1,3%,49 : 51,,,,,,
1847,Reporter,Hyogo University of Teacher Education,"1,161",8.0,2%,68 : 32,,,,,,
1848,Reporter,IFHE Hyderabad,"6,931",20.3,0%,39 : 61,,,,,,
1849,Reporter,Ignatius Ajuru University of Education,"29,785",75.2,0%,49 : 51,,,,,,
1850,Reporter,Ilma University,"4,107",22.4,0%,21 : 79,,,,,,
1851,Reporter,IMT Mines Alès,"1,425",12.8,15%,31 : 69,,,,,,
1852,Reporter,Indira Gandhi Delhi Technical University for Women,"3,673",53.2,0%,100 : 0,,,,,,
1853,Reporter,International Christian University,"2,913",12.6,11%,61 : 39,,,,,,
1854,Reporter,International University of Rabat,"5,830",33.3,2%,51 : 49,,,,,,
1855,Reporter,Ionian University,"8,169",41.9,3%,53 : 47,,,,,,
1856,Reporter,Ion Mincu University of Architecture and Urbanism,"3,173",12.8,4%,71 : 29,,,,,,
1857,Reporter,Islamia College Peshawar,"6,732",25.5,3%,27 : 73,,,,,,
1858,Reporter,The Islamic University,"4,152",9.1,2%,70 : 30,,,,,,
1859,Reporter,Islamic University of Gaza,"17,058",47.0,1%,60 : 40,,,,,,
1860,Reporter,Islamic University of Madinah,"11,703",7.7,75%,4 : 96,,,,,,
1861,Reporter,Isra University,"4,864",19.6,18%,54 : 46,,,,,,
1862,Reporter,Israel Technological University,"3,070",34.9,1%,42 : 58,,,,,,
1863,Reporter,Istanbul Aydın University,"27,826",27.9,13%,51 : 49,,,,,,
1864,Reporter,Istanbul Gelişim University,"18,774",23.4,15%,46 : 54,,,,,,
1865,Reporter,IUBAT – International University of Business Agriculture and Technology,"6,435",22.1,1%,30 : 70,,,,,,
1866,Reporter,Universita IULM,"7,841",15.9,7%,72 : 28,,,,,,
1867,Reporter,Japan Advanced Institute of Science and Technology (JAIST),"1,218",7.8,42%,23 : 77,,,,,,
1868,Reporter,Jashore University of Science and Technology,"4,741",20.1,0%,30 : 70,,,,,,
1869,Reporter,Jerash Private University,"3,362",18.0,31%,38 : 62,,,,,,
1870,Reporter,University of Jijel,"21,228",20.2,0%,63 : 37,,,,,,
1871,Reporter,University of Jos,"37,885",23.4,0%,45 : 55,,,,,,
1872,Reporter,Kampala International University,"23,800",7.0,30%,45 : 55,,,,,,
1873,Reporter,Karaganda University of Kazpotrebsoyuz,"5,076",13.3,1%,59 : 41,,,,,,
1874,Reporter,Karshi State University,"13,909",21.0,0%,63 : 37,,,,,,
1875,Reporter,Kastamonu University,"17,597",41.0,15%,45 : 55,,,,,,
1876,Reporter,Kazakh National Pedagogical University Abai,"13,479",12.6,2%,61 : 39,,,,,,
1877,Reporter,University of Kerbala,"20,327",16.5,0%,55 : 45,,,,,,
1878,Reporter,Kermanshah University of Technology,"2,251",13.6,0%,38 : 62,,,,,,
1879,Reporter,Kharkiv University of Humanities “People’s Ukrainian Academy”,455,5.5,1%,81 : 19,,,,,,
1880,Reporter,Kadir Has University,"4,896",23.5,3%,53 : 47,,,,,,
1881,Reporter,Khazar University,"2,610",11.3,7%,54 : 46,,,,,,
1882,Reporter,Khomein University of Medical Sciences,782,31.3,0%,48 : 52,,,,,,
1883,Reporter,Khulna University,"5,921",11.8,0%,41 : 59,,,,,,
1884,Reporter,Khwaja Fareed University of Engineering and Information Technology,"10,713",21.6,0%,41 : 59,,,,,,
1885,Reporter,Khyber Medical University,"4,364",16.5,3%,40 : 60,,,,,,
1886,Reporter,Kings University,132,3.3,0%,42 : 58,,,,,,
1887,Reporter,University of Kirkuk,"22,867",24.8,0%,52 : 48,,,,,,
1888,Reporter,Kitami Institute of Technology,"1,965",14.1,4%,13 : 87,,,,,,
1889,Reporter,Kobe City University of Foreign Studies,"2,287",15.3,4%,67 : 33,,,,,,
1890,Reporter,Kobe Gakuin University,"11,557",34.3,2%,38 : 62,,,,,,
1891,Reporter,Kocaeli Health and Technology University,"2,784",31.6,4%,66 : 34,,,,,,
1892,Reporter,Kokshetau State University,"7,047",11.3,5%,65 : 35,,,,,,
1893,Reporter,Konan Women’s University,"4,416",24.7,1%,100 : 0,,,,,,
1894,Reporter,Konya Technical University,"13,016",30.1,4%,26 : 74,,,,,,
1895,Reporter,KTO Karatay University,"8,370",26.2,3%,58 : 42,,,,,,
1896,Reporter,Kyiv National Economic University,"10,585",9.4,2%,61 : 39,,,,,,
1897,Reporter,Kyoai Gakuen University,"1,089",19.4,4%,66 : 34,,,,,,
1898,Reporter,Kyrgyz-Turkish Manas University,"5,448",14.5,17%,72 : 28,,,,,,
1899,Reporter,University of Laghouat,"34,345",35.2,0%,51 : 49,,,,,,
1900,Reporter,Lagos State University,"28,289",37.1,0%,50 : 50,,,,,,
1901,Reporter,Knowledge University,"2,125",16.6,1%,47 : 53,,,,,,
1902,Reporter,University of Lampung,"25,782",19.9,0%,50 : 50,,,,,,
1903,Reporter,Landmark University,"3,429",13.4,0%,34 : 66,,,,,,
1904,Reporter,La Salle University,"9,869",20.1,1%,55 : 45,,,,,,
1905,Reporter,University of Las Américas (UDLA),"12,767",13.7,1%,54 : 46,,,,,,
1906,Reporter,Leeds Arts University,"2,065",15.3,12%,76 : 24,,,,,,
1907,Reporter,Leeds Conservatoire,"1,260",19.4,12%,33 : 67,,,,,,
1908,Reporter,Leeds Trinity University,"3,230",24.8,9%,65 : 35,,,,,,
1909,Reporter,Koya University,"4,536",9.4,1%,50 : 50,,,,,,
1910,Reporter,Lesya Ukrainka Volyn National University,"8,039",10.1,1%,68 : 32,,,,,,
1911,Reporter,University of Liberal Arts Bangladesh,"4,475",20.2,0%,49 : 51,,,,,,
1912,Reporter,Liverpool Hope University,"4,025",15.2,13%,67 : 33,,,,,,
1913,Reporter,Liverpool Institute for Performing Arts,865,17.3,23%,57 : 43,,,,,,
1914,Reporter,Liverpool School of Tropical Medicine,210,2.2,39%,65 : 35,,,,,,
1915,Reporter,The LNM Institute of Information Technology,"2,136",22.3,0%,17 : 83,,,,,,
1916,Reporter,Loei Rajabhat University,"7,433",19.6,0%,70 : 30,,,,,,
1917,Reporter,London Business School,"1,995",18.1,91%,38 : 62,,,,,,
1918,Reporter,London School of Hygiene and Tropical Medicine,825,1.8,62%,70 : 30,,,,,,
1919,Reporter,London Metropolitan University,"8,260",21.5,45%,66 : 34,,,,,,
1920,Reporter,University of Los Lagos,"5,567",16.6,0%,58 : 42,,,,,,
1921,Reporter,Universidad Loyola,"3,319",13.3,4%,65 : 35,,,,,,
1922,Reporter,Malawi University of Science and Technology (MUST),"2,356",12.3,0%,28 : 72,,,,,,
1923,Reporter,Management Development Institute (MDI),982,12.8,0%,21 : 79,,,,,,
1924,Reporter,Marian College Kuttikkanam (Autonomous),"1,755",17.0,0%,52 : 48,,,,,,
1925,Reporter,Maritime University of Szczecin,"2,559",24.7,13%,26 : 74,,,,,,
1926,Reporter,University of Mascara,"21,682",12.0,0%,61 : 39,,,,,,
1927,Reporter,Universidad Mayor,"20,330",11.0,2%,57 : 43,,,,,,
1928,Reporter,University of Medellín,"9,371",17.6,2%,54 : 46,,,,,,
1929,Reporter,Meikai University,"4,326",16.1,17%,43 : 57,,,,,,
1930,Reporter,Michael and Cecilia Ibru University,405,6.9,0%,41 : 59,,,,,,
1931,Reporter,"Michael Okpara University of Agriculture, Umudike","23,198",21.7,0%,41 : 59,,,,,,
1932,Reporter,Middle Technical University,"37,101",26.7,0%,45 : 55,,,,,,
1933,Reporter,Mindanao State University – Iligan Institute of Technology,"9,348",18.6,0%,60 : 40,,,,,,
1934,Reporter,MIOTI Tech and Business School,115,38.3,9%,31 : 69,,,,,,
1935,Reporter,Mirpur University of Science and Technology,"7,544",19.8,0%,44 : 56,,,,,,
1936,Reporter,University of Misan,"11,855",15.0,0%,51 : 49,,,,,,
1937,Reporter,Misr University for Science and Technology,"24,742",18.8,6%,47 : 53,,,,,,
1938,Reporter,Mahatma Jyotiba Phule Rohilkhand University,"3,999",20.1,0%,31 : 69,,,,,,
1939,Reporter,M. Kumarasamy College of Engineering,"3,772",11.7,0%,27 : 73,,,,,,
1940,Reporter,"MNS University of Agriculture, Multan","3,266",23.5,0%,22 : 78,,,,,,
1941,Reporter,Modern University for Business and Science,"1,896",16.9,31%,47 : 53,,,,,,
1942,Reporter,Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj,"18,000",30.9,0%,100 : 0,,,,,,
1943,Reporter,Universidad Monteávila,"1,054",5.7,0%,71 : 29,,,,,,
1944,Reporter,University of Monterrey,"10,814",31.2,1%,61 : 39,,,,,,
1945,Reporter,Muban Chombueng Rajabhat University,"4,951",17.9,0%,62 : 38,,,,,,
1946,Reporter,Mukogawa Women’s University,"8,394",26.4,0%,100 : 0,,,,,,
1947,Reporter,Mulungushi University,"6,988",54.6,0%,41 : 59,,,,,,
1948,Reporter,Mutah University,"11,486",16.1,15%,46 : 54,,,,,,
1949,Reporter,Universidad Nacional de Chimborazo,"8,478",14.7,1%,57 : 43,,,,,,
1950,Reporter,Universidad Nacional de Itapúa,"5,595",5.3,0%,59 : 41,,,,,,
1951,Reporter,Nagoya University of Commerce &amp; Business,"3,549",29.9,8%,25 : 75,,,,,,
1952,Reporter,Najran University,"17,967",16.9,1%,69 : 31,,,,,,
1953,Reporter,Nakhchivan State University,"7,620",14.1,20%,46 : 54,,,,,,
1954,Reporter,Namangan Engineering Construction Institute,"3,881",11.8,0%,18 : 82,,,,,,
1955,Reporter,Namangan Institute of Engineering and Technology,"5,784",18.1,0%,21 : 79,,,,,,
1956,Reporter,Namangan State University,"20,636",31.9,0%,66 : 34,,,,,,
1957,Reporter,Nara Institute of Science and Technology,"1,043",5.1,24%,23 : 77,,,,,,
1958,Reporter,Nara Women’s University,"2,612",6.2,5%,100 : 0,,,,,,
1959,Reporter,National Aviation University,"14,239",10.9,5%,39 : 61,,,,,,
1960,Reporter,National University of Computer and Emerging Sciences,"8,291",14.8,2%,22 : 78,,,,,,
1961,Reporter,National Film and Television School,395,7.2,42%,50 : 50,,,,,,
1962,Reporter,National University of Medical Sciences (NUMS),"1,654",5.0,0%,72 : 28,,,,,,
1963,Reporter,National University of Mongolia,"18,647",26.5,2%,60 : 40,,,,,,
1964,Reporter,National University Odessa Law Academy,"10,503",17.7,1%,60 : 40,,,,,,
1965,Reporter,The National University of Ostroh Academy,"3,432",8.8,1%,57 : 43,,,,,,
1966,Reporter,National Polytechnic University of Armenia,"5,742",8.7,2%,20 : 80,,,,,,
1967,Reporter,National University of Quilmes,"33,703",27.3,2%,57 : 43,,,,,,
1968,Reporter,"National University of Science and Technology, Oman","3,986",18.8,14%,63 : 37,,,,,,
1969,Reporter,"National University, Sudan","5,132",12.3,6%,60 : 40,,,,,,
1970,Reporter,National Taichung University of Science and Technology,"15,512",14.9,1%,70 : 30,,,,,,
1971,Reporter,National Transport University,"7,262",11.5,2%,31 : 69,,,,,,
1972,Reporter,National University of Water and Environmental Engineering,"4,344",9.8,3%,34 : 66,,,,,,
1973,Reporter,National University “Yuri Kondratyuk Poltava Polytechnic”,"5,067",8.1,10%,49 : 51,,,,,,
1974,Reporter,Navoi State Pedagogical Institute,"12,791",26.4,0%,72 : 28,,,,,,
1975,Reporter,Universitas Negeri Surabaya,"29,840",24.5,0%,64 : 36,,,,,,
1976,Reporter,Birmingham Newman University,"2,325",17.9,12%,76 : 24,,,,,,
1977,Reporter,Niger Delta University,"20,608",25.9,0%,45 : 55,,,,,,
1978,Reporter,"Nigerian Police Academy, Wudil","3,087",21.9,0%,16 : 84,,,,,,
1979,Reporter,Nihon Pharmaceutical University,"1,618",18.4,4%,48 : 52,,,,,,
1980,Reporter,Niigata University of Health and Welfare,"4,410",17.2,0%,51 : 49,,,,,,
1981,Reporter,University of Niigata Prefecture,"1,196",14.8,1%,76 : 24,,,,,,
1982,Reporter,Nile University,"2,168",14.4,2%,28 : 72,,,,,,
1983,Reporter,Ninevah University,"3,707",13.6,0%,42 : 58,,,,,,
1984,Reporter,Nitte (Deemed to be University),"4,408",7.7,1%,65 : 35,,,,,,
1985,Reporter,University of Northampton,"9,945",16.9,33%,64 : 36,,,,,,
1986,Reporter,Northeast Ohio Medical University,955,11.8,0%,54 : 46,,,,,,
1987,Reporter,Northern Technical University,"21,400",27.5,0%,48 : 52,,,,,,
1988,Reporter,Norwich University of the Arts,"2,290",15.8,13%,61 : 39,,,,,,
1989,Reporter,University of Nova Gorica,416,3.5,54%,48 : 52,,,,,,
1990,Reporter,Novena University,"1,981",25.4,0%,42 : 58,,,,,,
1991,Reporter,October 6 University,"25,927",20.8,3%,49 : 51,,,,,,
1992,Reporter,Oguz Han Engineering and Technology University of Turkmenistan,"2,223",13.2,0%,52 : 48,,,,,,
1993,Reporter,Olusegun Agagu University of Science and Technology,"6,474",29.4,0%,28 : 72,,,,,,
1994,Reporter,Ostrogradsky National University of Kremenchuk,"4,106",11.8,0%,38 : 62,,,,,,
1995,Reporter,Palestine Polytechnic University,"4,812",27.0,3%,55 : 45,,,,,,
1996,Reporter,Palestine Technical University – Kadoorie,"7,013",18.3,4%,59 : 41,,,,,,
1997,Reporter,Panteion University of Social and Political Sciences,"12,615",62.5,2%,52 : 48,,,,,,
1998,Reporter,Paris University of International Education,445,29.7,100%,32 : 68,,,,,,
1999,Reporter,Pavlo Tychyna Uman State Pedagogical University,"9,149",17.5,2%,32 : 68,,,,,,
2000,Reporter,University of Petra,"6,538",19.9,21%,57 : 43,,,,,,
2001,Reporter,Pharos University,"11,106",14.1,6%,49 : 51,,,,,,
2002,Reporter,University of Phayao,"18,057",20.7,0%,68 : 32,,,,,,
2003,Reporter,Philadelphia University (Jordan),"3,615",20.1,36%,41 : 59,,,,,,
2004,Reporter,Plymouth Marjon University,"1,845",18.5,3%,61 : 39,,,,,,
2005,Reporter,Polytechnic University of Tirana,"8,591",16.2,2%,,,,,,,
2006,Reporter,Poltava V.G. Korolenko National Pedagogical University (PNPU),"3,812",5.8,0%,51 : 49,,,,,,
2007,Reporter,Polytechnic Institute of Setúbal,"7,829",17.3,6%,54 : 46,,,,,,
2008,Reporter,Universidad Popular Autónoma del Estado de Puebla,"11,279",16.1,1%,60 : 40,,,,,,
2009,Reporter,Prefectural University of Hiroshima,"2,623",12.3,2%,65 : 35,,,,,,
2010,Reporter,Prince Sultan University (PSU),"4,772",19.4,15%,56 : 44,,,,,,
2011,Reporter,"University of Professional Studies, Accra","14,017",39.8,0%,46 : 54,,,,,,
2012,Reporter,University of Puthisastra,"1,649",2.9,0%,55 : 45,,,,,,
2013,Reporter,Queen Margaret University,"3,905",20.6,31%,77 : 23,,,,,,
2014,Reporter,Rajamangala University of Technology Isan,"24,166",9.5,0%,46 : 54,,,,,,
2015,Reporter,Ravensbourne,"2,375",22.6,30%,50 : 50,,,,,,
2016,Reporter,Rawalpindi Medical University,"3,304",8.4,1%,69 : 31,,,,,,
2017,Reporter,Rennes School of Business,"3,098",31.3,33%,50 : 50,,,,,,
2018,Reporter,REVA University,"13,467",21.3,1%,33 : 67,,,,,,
2019,Reporter,Rose Bruford College,655,18.7,18%,60 : 40,,,,,,
2020,Reporter,"Royal Central School of Speech and Drama, University of London","1,035",15.9,36%,68 : 32,,,,,,
2021,Reporter,Royal College of Art,"2,405",20.9,77%,69 : 31,,,,,,
2022,Reporter,Royal Conservatoire of Scotland,"1,190",10.8,38%,57 : 43,,,,,,
2023,Reporter,Royal Academy of Music,830,9.8,47%,49 : 51,,,,,,
2024,Reporter,Royal College of Music,860,10.8,57%,52 : 48,,,,,,
2025,Reporter,Royal Northern College of Music,870,10.9,33%,50 : 50,,,,,,
2026,Reporter,University of Saint Joseph,"1,141",10.7,24%,62 : 38,,,,,,
2027,Reporter,Salahaddin University,"25,189",10.7,1%,55 : 45,,,,,,
2028,Reporter,Salem University,513,3.9,1%,40 : 60,,,,,,
2029,Reporter,Samarkand State Institute of Foreign Languages,"5,010",10.9,0%,74 : 26,,,,,,
2030,Reporter,Samuel Adegboyega University,390,5.4,0%,51 : 49,,,,,,
2031,Reporter,Universidad San Ignacio de Loyola,"21,556",35.9,1%,51 : 49,,,,,,
2032,Reporter,University of San Martín de Porres,"40,234",18.0,0%,61 : 39,,,,,,
2033,Reporter,University of Santo Tomas,"26,511",13.3,7%,51 : 49,,,,,,
2034,Reporter,Satya Wacana Christian University,"16,132",35.5,0%,45 : 55,,,,,,
2035,Reporter,Saudi Electronic University,"21,756",24.3,6%,48 : 52,,,,,,
2036,Reporter,SBS Swiss Business School,"1,644",10.3,57%,42 : 58,,,,,,
2037,Reporter,University of Science and Technology of Southern Philippines (USTP),"9,222",32.5,0%,60 : 40,,,,,,
2038,Reporter,Sefako Makgatho Health Sciences University,"6,306",9.9,1%,62 : 38,,,,,,
2039,Reporter,Senshu University,"17,933",23.0,3%,35 : 65,,,,,,
2040,Reporter,Shaheed Benazir Bhutto Women University Peshawar,"5,677",38.6,0%,100 : 0,,,,,,
2041,Reporter,Shaheed Zulfiqar Ali Bhutto Medical University,"4,803",8.6,1%,55 : 45,,,,,,
2042,Reporter,The University of Shiga Prefecture,"2,853",14.1,1%,49 : 51,,,,,,
2043,Reporter,Shonan Institute of Technology,"2,234",29.4,9%,7 : 93,,,,,,
2044,Reporter,Samarkand State Medical University,"7,200",10.2,1%,41 : 59,,,,,,
2045,Reporter,Shri Mata Vaishno Devi University,"1,805",15.0,0%,40 : 60,,,,,,
2046,Reporter,Sikkim Manipal University,"3,013",10.5,2%,31 : 69,,,,,,
2047,Reporter,Silesian University in Opava,"5,322",20.4,6%,71 : 29,,,,,,
2048,Reporter,Simón Bolívar University,"4,462",10.5,0%,43 : 57,,,,,,
2049,Reporter,Simón Bolívar University (Colombia),"18,482",18.2,1%,60 : 40,,,,,,
2050,Reporter,Sir Syed University of Engineering and Technology,"5,879",14.1,0%,14 : 86,,,,,,
2051,Reporter,Sokoto State University,"8,244",23.8,0%,25 : 75,,,,,,
2052,Reporter,"Solent University, Southampton","8,640",16.1,30%,45 : 55,,,,,,
2053,Reporter,University of Sopron,"2,847",14.9,3%,63 : 37,,,,,,
2054,Reporter,Soran University,"4,596",9.5,0%,50 : 50,,,,,,
2055,Reporter,University of South Santa Catarina (Unisul),"16,602",18.8,0%,52 : 48,,,,,,
2056,Reporter,SR University,"3,238",13.1,0%,49 : 51,,,,,,
2057,Reporter,Sri Balaji Vidyapeeth,"3,850",7.4,1%,53 : 47,,,,,,
2058,Reporter,University of Sri Jayewardenepura,"17,069",23.4,0%,62 : 38,,,,,,
2059,Reporter,Sri Lanka Institute of Information Technology,"11,151",38.7,0%,37 : 63,,,,,,
2060,Reporter,Sri Padmavati Mahila Visvavidyalayam (Women's University),"5,475",19.6,6%,83 : 17,,,,,,
2061,Reporter,State University of Bahia,"20,384",10.2,0%,67 : 33,,,,,,
2062,Reporter,State Energy Institute of Turkmenistan,"2,134",11.5,2%,28 : 72,,,,,,
2063,Reporter,"St Mary’s University, Twickenham","4,740",18.2,25%,54 : 46,,,,,,
2064,Reporter,Stranmillis University College,"1,060",23.6,18%,79 : 21,,,,,,
2065,Reporter,Suez University,"18,010",21.8,2%,55 : 45,,,,,,
2066,Reporter,University of Suffolk,"3,245",16.6,14%,71 : 29,,,,,,
2067,Reporter,Sugiyama Jogakuen University,"6,064",29.4,0%,100 : 0,,,,,,
2068,Reporter,Sulaimani Polytechnic University,"3,762",11.4,0%,50 : 50,,,,,,
2069,Reporter,Suratthani Rajabhat University,"12,086",24.6,0%,71 : 29,,,,,,
2070,Reporter,Széchenyi István University,"9,299",14.7,5%,43 : 57,,,,,,
2071,Reporter,Tafila Technical University,"4,094",21.9,1%,43 : 57,,,,,,
2072,Reporter,University of Taipei,"7,988",17.6,2%,60 : 40,,,,,,
2073,Reporter,Tama Art University,"4,719",32.8,11%,73 : 27,,,,,,
2074,Reporter,Tarlac Agricultural University,"5,351",24.3,0%,56 : 44,,,,,,
2075,Reporter,Tarsus University,"2,556",27.8,2%,42 : 58,,,,,,
2076,Reporter,Tashkent Institute of Finance,"8,370",21.2,1%,29 : 71,,,,,,
2077,Reporter,Tashkent University of Information Technologies,"14,404",15.5,0%,22 : 78,,,,,,
2078,Reporter,Tashkent Institute of Irrigation and Agricultural Mechanisation,"5,750",7.1,5%,24 : 76,,,,,,
2079,Reporter,Tashkent Medical Academy,"6,495",8.8,2%,42 : 58,,,,,,
2080,Reporter,Tashkent Pediatric Medical Institute,"5,704",10.1,1%,50 : 50,,,,,,
2081,Reporter,Tashkent Pharmaceutical Institute,"3,313",12.2,13%,64 : 36,,,,,,
2082,Reporter,Tashkent State Agrarian University,"11,560",13.5,0%,51 : 49,,,,,,
2083,Reporter,Tashkent State Dental Institute,"4,609",8.9,3%,52 : 48,,,,,,
2084,Reporter,Tashkent State University of Law,"4,819",10.6,1%,27 : 73,,,,,,
2085,Reporter,Université Sultan Moulay Slimane,"31,042",50.0,0%,51 : 49,,,,,,
2086,Reporter,Tashkent State University of Oriental Studies,"4,291",16.1,1%,51 : 49,,,,,,
2087,Reporter,Tashkent State Technical University,"14,591",14.2,0%,17 : 83,,,,,,
2088,Reporter,Tashkent State Transport University,"17,319",24.9,0%,9 : 91,,,,,,
2089,Reporter,Tashkent Institute of Textile and Light Industry,"4,266",11.7,0%,40 : 60,,,,,,
2090,Reporter,Tatung University,"4,036",19.6,3%,39 : 61,,,,,,
2091,Reporter,Tecmilenio University,"2,932",16.5,1%,45 : 55,,,,,,
2092,Reporter,Tecnológico de Costa Rica,"10,651",13.8,2%,35 : 65,,,,,,
